Game 1| Score 0| Mean 0.0
Game 146| Score 27| Mean 13.157534246575343
Game 147| Score 36| Mean 13.312925170068027
Game 148| Score 28| Mean 13.412162162162161
Game 149| Score 48| Mean 13.644295302013424
Game 150| Score 56| Mean 13.926666666666666
Game 151| Score 30| Mean 14.033112582781458
Game 152| Score 25| Mean 14.105263157894736
Game 153| Score 24| Mean 14.169934640522875
Game 154| Score 45| Mean 14.37012987012987
Game 155| Score 23| Mean 14.425806451612903
Game 156| Score 33| Mean 14.544871794871796
Game 157| Score 26| Mean 14.617834394904458
Game 158| Score 29| Mean 14.708860759493671
Game 159| Score 35| Mean 14.836477987421384
Game 160| Score 29| Mean 14.925
Game 161| Score 19| Mean 14.950310559006212
Game 162| Score 24| Mean 15.006172839506172
Game 163| Score 30| Mean 15.098159509202453
Game 164| Score 62| Mean 15.384146341463415
Game 165| Score 24| Mean 15.436363636363636
Game 166| Score 25| Mean 15.493975903614459
Game 167| Score 36| Mean 15.616766467065869
Game 168| Score 24| Mean 15.666666666666666
Game 169| Score 24| Mean 15.715976331360947
Game 170| Score 52| Mean 15.929411764705883
Game 171| Score 11| Mean 15.900584795321638
Game 172| Score 46| Mean 16.075581395348838
Game 173| Score 43| Mean 16.23121387283237
Game 174| Score 39| Mean 16.362068965517242
Game 175| Score 22| Mean 16.394285714285715
Game 176| Score 25| Mean 16.443181818181817
Game 177| Score 30| Mean 16.519774011299436
Game 178| Score 38| Mean 16.640449438202246
Game 179| Score 35| Mean 16.743016759776538
Game 180| Score 16| Mean 16.738888888888887
Game 181| Score 43| Mean 16.883977900552487
Game 182| Score 24| Mean 16.923076923076923
Game 183| Score 43| Mean 17.065573770491802
Game 184| Score 33| Mean 17.152173913043477
Game 185| Score 39| Mean 17.27027027027027
Game 186| Score 31| Mean 17.344086021505376
Game 187| Score 26| Mean 17.390374331550802
Game 188| Score 28| Mean 17.4468085106383
Game 189| Score 45| Mean 17.59259259259259
Game 190| Score 44| Mean 17.731578947368423
Game 191| Score 36| Mean 17.827225130890053
Game 192| Score 21| Mean 17.84375
Game 193| Score 44| Mean 17.979274611398964
Game 194| Score 41| Mean 18.0979381443299
Game 195| Score 28| Mean 18.148717948717948
Game 196| Score 22| Mean 18.168367346938776
Game 197| Score 54| Mean 18.3502538071066
Game 198| Score 44| Mean 18.47979797979798
Game 199| Score 17| Mean 18.472361809045225
Game 200| Score 31| Mean 18.535
Game 201| Score 38| Mean 18.6318407960199
Game 202| Score 42| Mean 18.747524752475247
Game 203| Score 36| Mean 18.832512315270936
Game 204| Score 29| Mean 18.88235294117647
Game 205| Score 31| Mean 18.941463414634146
Game 206| Score 54| Mean 19.111650485436893
Game 207| Score 28| Mean 19.154589371980677
Game 208| Score 24| Mean 19.177884615384617
Game 209| Score 34| Mean 19.248803827751196
Game 210| Score 44| Mean 19.366666666666667
Game 211| Score 13| Mean 19.33649289099526
Game 212| Score 22| Mean 19.349056603773583
Game 213| Score 29| Mean 19.3943661971831
Game 214| Score 26| Mean 19.425233644859812
Game 215| Score 47| Mean 19.553488372093025
Game 216| Score 31| Mean 19.60648148148148
Game 217| Score 30| Mean 19.65437788018433
Game 218| Score 23| Mean 19.6697247706422
Game 219| Score 13| Mean 19.639269406392692
Game 220| Score 39| Mean 19.727272727272727
Game 221| Score 18| Mean 19.71945701357466
Game 222| Score 53| Mean 19.86936936936937
Game 223| Score 25| Mean 19.89237668161435
Game 224| Score 52| Mean 20.035714285714285
Game 225| Score 46| Mean 20.15111111111111
Game 226| Score 21| Mean 20.154867256637168
Game 227| Score 53| Mean 20.29955947136564
Game 228| Score 48| Mean 20.42105263157895
Game 229| Score 55| Mean 20.572052401746724
Game 230| Score 34| Mean 20.630434782608695
Game 231| Score 47| Mean 20.744588744588743
Game 232| Score 41| Mean 20.83189655172414
Game 233| Score 23| Mean 20.841201716738198
Game 234| Score 25| Mean 20.858974358974358
